establecim,tecnologia,provincia,departamento,paraje,pueblo_originario,geom,geojson
",Fotovoltaico,SANTIAGO DEL ESTERO,OJO DE AGUA,Campo Alegre,No,0101000020E6100000894160E5D01250C0EEEBC039237A3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.294,-29.4771]}"""
"Escuela N 104 Ojo de Agua,Fotovoltaico,JUJUY,SANTA BARBARA,,Quechua,0101000020E6100000550BF4A2D91350C01AB955ADD84138C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.31015848,-24.25721248]}"""
"Escuela N 319 San Antonio Maria Claret,Fotovoltaico,JUJUY,SANTA CATALINA,,Quechua,0101000020E6100000FFED7043258B50C0D95F5541350036C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.17414938,-22.00081261]}"""
"Escuela N 250,Fotovoltaico,JUJUY,YAVI,,Quechua,0101000020E610000030536A61DC7450C0716E550A685436C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.82595096,-22.32971253]}"""
"Escuela N 248 Nuestra Sra. Del Rosario de Rio Blanco y Paypaya,Fotovoltaico,JUJUY,VALLE GRANDE,,Quechua,0101000020E61000002121A9094B3F50C077425486165B37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.98895494,-23.35581245]}"""
"Escuela N 369 Lucia Rueda,Fotovoltaico,JUJUY,SANTA CATALINA,,Quechua,0101000020E61000006EB85531118C50C011361BAF69E035C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.18854936,-21.87661261]}"""
"Escuela N 193 Baldomero Fernandez Moreno,Fotovoltaico,JUJUY,HUMAHUACA,,Quechua,0101000020E6100000335A81005D6B50C0E2B96BC7DC5737C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.67755139,-23.34321257]}"""
"Escuela N 133 Pte. Juan Domingo Peron,Fotovoltaico,JUJUY,TILCARA,,Quechua,0101000020E61000003AB72294EB4F50C08C8F26499D7237C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.24875358,-23.44771249]}"""
"Escuela 232 Mariano Moreno,Fotovoltaico,JUJUY,LIBERTADOR GENERAL SAN MARTIN,,Quechua,0101000020E6100000155D7237E34550C0D264106965DC37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.0919932,-23.8609224]}"""
"Escuela N 189 Brigadier Gral. Juan Quiroga,Fotovoltaico,JUJUY,SUSQUES,,Quechua,0101000020E610000089981249F49550C0055262D7F63A37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.343035,-23.230329]}"""
"Escuela secundaria rural N 2 Olaroz Chico,Fotovoltaico,JUJUY,SUSQUES,,Quechua,0101000020E61000000E1FA6B75EB350C092808758B36437C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.80265609,-23.3933616]}"""
"Escuela N 49 Nuestra Senora de la Medalla Milagrosa,Fotovoltaico,JUJUY,SANTA CATALINA,,Quechua,0101000020E610000073BBB809CE9050C0CF7FD5B231F635C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.26257556,-21.96169584]}"""
"Escuela N 462,Fotovoltaico,JUJUY,TUMBAYA,,Quechua,0101000020E6100000F69950146A7F50C06A46ABFF18E537C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.99084957,-23.8949127]}"""
"Escuela N 206,Fotovoltaico,JUJUY,HUMAHUACA,,Quechua,0101000020E6100000D77E5B45796650C07A90F9DBF95037C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.60115179,-23.31631255]}"""
"Escuela N 215,Fotovoltaico,JUJUY,HUMAHUACA,,Quechua,0101000020E6100000BD6B96EC146350C0A477437D3F2737C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.54815211,-23.15331252]}"""
"Escuela N 305 Ejercito Argentino,Fotovoltaico,JUJUY,HUMAHUACA,,Quechua,0101000020E610000061E50ACE645C50C0F241CF66D52937C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.44365264,-23.1634125]}"""
"Escuela N 316 Conscripto Teodoro Laguna,Fotovoltaico,JUJUY,HUMAHUACA,,Quechua,0101000020E61000001172BDF15E6350C06F82B1B6103937C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.55266994,-23.22291128]}"""
"Escuela secundaria rural N 2 Vizcarra,Fotovoltaico,JUJUY,HUMAHUACA,,Quechua,0101000020E6100000D1008349166350C08AF171D8432737C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5482353,-23.15337899]}"""
"Escuela N 352,Fotovoltaico,JUJUY,TILCARA,,Quechua,0101000020E610000051A9E9E53D5750C0DF7890014D9637C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.36315296,-23.58711252]}"""
"Escuela N 315,Fotovoltaico,JUJUY,COCHINOCA,,Quechua,0101000020E6100000EDA1F973BC6250C0806BFECA10A936C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.54275226,-22.66041249]}"""
"Escuela N 331,Fotovoltaico,JUJUY,COCHINOCA,,Quechua,0101000020E61000007906CBE0416250C05DB928C46DC836C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.53527088,-22.7829249]}"""
"Escuela N 373,Fotovoltaico,JUJUY,TUMBAYA,,Quechua,0101000020E610000014D7C612B56450C016ED9EFA0FAB37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.57355184,-23.66821257]}"""
"Escuela N 93,Fotovoltaico,JUJUY,TUMBAYA,,Quechua,0101000020E6100000BE4B0C76816650C052F6334803BA37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.60165168,-23.72661258]}"""
",Fotovoltaico,NEUQUEN,COLLON CURA,Saï¿½ico,No,0101000020E61000005EBA490C029B51C0AB3E575BB10F44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.422,-40.1226]}"""
"E.P.N 126,Fotovoltaico,NEUQUEN,COLLON CURA,,No,0101000020E61000005EBA490C029B51C0AB3E575BB10F44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.422,-40.1226]}"""
"E.P. N 217,Fotovoltaico,NEUQUEN,ZAPALA,,No,0101000020E61000008E5DDC25B59951C0B3C3CA2E398D43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.40168139,-39.10330758]}"""
"E.P. N 110,Fotovoltaico,NEUQUEN,LONCOPUE,,No,0101000020E61000000547D11CBC9751C04F84E4CF7DF142C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.37085648,-37.88665198]}"""
"E.P. N 320,Fotovoltaico,NEUQUEN,CATAN LIL,,No,0101000020E6100000EB200AC185B051C061F6151870E643C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.7581637,-39.80029584]}"""
"E.P. N 208,Fotovoltaico,NEUQUEN,LONCOPUE,,No,0101000020E6100000EA456946B1B051C03DF41759B60443C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.76082001,-38.03681482]}"""
",Fotovoltaico,NEUQUEN,ZAPALA,Carro Quebrado,Mapuche,0101000020E6100000FAEDEBC0397B51C02D431CEBE29643C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.9254,-39.1788]}"""
"E.P. 316 Comunidad Mapuche Gramajo,Fotovoltaico,NEUQUEN,ZAPALA,,Mapuche,0101000020E6100000FAEDEBC0397B51C02D431CEBE29643C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.9254,-39.1788]}"""
",Fotovoltaico,NEUQUEN,CATAN LIL,Agua del Overo,Mapuche,0101000020E610000060E5D022DB8951C0C74B378941A843C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.154,-39.3145]}"""
"E.P.N 290,Fotovoltaico,NEUQUEN,CATAN LIL,,Mapuche,0101000020E610000060E5D022DB8951C0C74B378941A843C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.154,-39.3145]}"""
"E.P. N 247,Fotovoltaico,NEUQUEN,CATAN LIL,,No,0101000020E610000013993DF9C99151C024558805C6BF43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.27795249,-39.49823064]}"""
",Fotovoltaico,NEUQUEN,COLLON CURA,Paso Yuncon,No,0101000020E6100000029A081B9E8A51C0022B8716D92644C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.1659,-40.3035]}"""
",Fotovoltaico,NEUQUEN,COLLON CURA,Carran Cura,No,0101000020E6100000CCEEC9C3429551C0EFC9C342AD0144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.3322,-40.0131]}"""
"E.P.N 233,Fotovoltaico,NEUQUEN,COLLON CURA,,No,0101000020E6100000029A081B9E8A51C0022B8716D92644C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.1659,-40.3035]}"""
"E.P.N 84,Fotovoltaico,NEUQUEN,COLLON CURA,,No,0101000020E6100000CCEEC9C3429551C0EFC9C342AD0144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.3322,-40.0131]}"""
",Fotovoltaico,NEUQUEN,ZAPALA,Laguna Miranda,Mapuche,0101000020E6100000C58F31772D9151C0DD240681957343C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.2684,-38.903]}"""
"E.P.N 218,Fotovoltaico,NEUQUEN,ZAPALA,,Mapuche,0101000020E6100000C58F31772D9151C0DD240681957343C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.2684,-38.903]}"""
"E.P. N 251 Provincia de La Rioja,Fotovoltaico,NEUQUEN,PEHUENCHES,,No,0101000020E6100000082B4644CE7D51C088B34BE9D3A842C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.96571452,-37.31896702]}"""
"E.P. N 173,Fotovoltaico,NEUQUEN,PEHUENCHES,,No,0101000020E6100000C00DAD254F6A51C09DCA92CEFAB942C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.66108076,-37.45296652]}"""
"E.P. N 127,Fotovoltaico,NEUQUEN,PEHUENCHES,,No,0101000020E6100000B36C5AE7E78451C0A90650429FB042C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.07665428,-37.3798602]}"""
"E.P. N 252,Fotovoltaico,NEUQUEN,HUILICHES,,No,0101000020E61000002A8B4667AEDF51C0A5AA223F8FDF43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-71.49501974,-39.74655904]}"""
"Planta de Campamento Educativo Nonthue,Fotovoltaico,NEUQUEN,Lacar,,No,0101000020E6100000BB5E9A22C0E751C0C2172653051344C0,""{""""type"""":""""Point"""",""""coordinates"""":[-71.621102,-40.1486]}"""
"E.P. N 117,Fotovoltaico,NEUQUEN,LACAR,,No,0101000020E61000000DC6A9520AD151C074F9E669863144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-71.26625506,-40.38691448]}"""
",Fotovoltaico,RIO NEGRO,PILCANIYEU,Cerro Alto/ Cerro El Pantanoso,No,0101000020E61000006632DAB215A551C075FA49CE6C5D44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.57944938,-40.72988299]}"""
